PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/1/2019,6:06:55 PM,1,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,88.798305468623,0.386021951958656,2.800290039138,1940.64690410495,132.96932380065,10:30,4.74552317564865,-2.65789434508437,5.75421921837737,-23.4418906844564,12.7423679866926,-13.7157154275415,3.1517644079947,-1.19237118362052,79.4789922518993,-4.05342475105021,0.200773695542222,0.432943633889579,,,,,,,,,,,,8.3438339490836,6.74248034792993,2.43395285084422,49.9999999999999,4.76353812114993,-5.85848844967134,-128.910699783886,0.105673253564798,13.7549822479162,31.8798175204135,-21.0589307270678,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,daa5e4ee-3c8f-11e9-b147-302432607227
2,3/1/2019,6:07:08 PM,1,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,1,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.6718128559521,-2.21770718468455,4.68481071334897,1913.25788093503,154.542372026718,11:15,4.74081367519122,-2.44025784953194,5.75888016420963,-19.9796398533534,17.3054671919288,-8.25526963827175,1.00389822287108,1.2416394318884,78.6889853781261,-5.98331345857552,3.12708645248397,0.439480100841887,,,,,,,,,,,,6.01931628245622,10.0759135556872,2.05665794745085,50,4.54467377581938,-10.1360779154468,-126.921726006107,-5.57275136228046,9.63139000752502,30.6017710407173,-16.0517767595859,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,e23eec8e-3c8f-11e9-b147-302432607227
3,3/1/2019,6:07:23 PM,1,3,"Sabouri, Arman",10000681,Left,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,2,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.2201339435617,-1.0270203380242,4.21157193648148,1906.46257526326,121.392755851094,10:00,4.62307000737273,-2.81057345590567,5.67688778355716,-26.758627484708,10.9025041136329,-17.9242753365595,1.43318504439241,-0.371494079257557,78.3590051900854,-6.0691836102248,0.82785773227612,0.441690644873549,,,,,,,,,,,,11.0295106995845,6.20115895902147,2.46645190229054,50,4.51988399157218,-8.72736086315051,-126.414411571762,-3.14060092933198,17.5278939107061,30.0809757578279,-22.3192817115833,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,eb0b710d-3c8f-11e9-b147-302432607227
4,3/1/2019,6:07:37 PM,1,4,"Sabouri, Arman",10000681,Left,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,2,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,89.1576222178865,-1.24987806294422,3.95931210982886,1959.61465400523,122.784666137071,10:00,4.64776361028305,-2.68357754402928,5.74668054106623,-25.0997373674702,10.9020167510838,-16.9791208067536,1.38963848150449,-0.406901838128124,79.9386093423634,-5.99092972271838,0.745402436180016,0.43185042276383,,,,,,,,,,,,10.4926696647797,6.30109926737364,2.36475383158833,50,4.52877534619392,-8.39022470219138,-129.249081227688,-3.64790898570361,17.3901792654524,32.0210155020804,-21.730829687466,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,f3789d43-3c8f-11e9-b147-302432607227
5,3/1/2019,6:07:54 PM,1,5,"Sabouri, Arman",10000681,Left,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,2,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,89.3662900716097,0.253186429363206,1.995779642622,1783.6898699976,135.074470247158,10:30,4.79963983020779,-2.75051495621858,5.44370761235396,-22.9987535150436,13.3071483151748,-13.3066482947957,3.12025257121723,-1.99022114566752,79.5594691888895,-4.0908142345019,-0.520973860930118,0.433670751784276,,,,,,,,,,,,7.81642601425045,7.01945820572238,2.58319179901886,50,4.80666017266835,-4.06160631568245,-129.683308221249,-0.217262572944915,12.965800500022,33.6768344437335,-20.5302493894314,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,fd9c5f58-3c8f-11e9-b147-302432607227
6,3/1/2019,6:08:08 PM,1,6,"Sabouri, Arman",10000681,Left,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,3,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,88.5777111345788,-0.0706788945843099,4.26986099516749,1838.42973103207,124.228146403954,10:15,4.84273937302713,-2.61117426882235,5.48134789778356,-26.3969873865696,10.4813226831346,-15.4574796506179,2.57668404612379,0.102701731577607,79.2299327290562,-5.04012188642247,1.3591805659712,0.43707606464018,66.6531729915679,20.0848984570062,136.997406740712,2831.06506047418,,,,,,,,9.70440134148974,5.62329040964918,2.24669013678986,50,4.81908605767922,-9.055762096074,-128.32157031667,-1.05512589468996,15.8483555029654,31.6449853187528,-22.9905963915331,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,0634735a-3c90-11e9-b147-302432607227
7,3/1/2019,6:08:25 PM,1,7,"Sabouri, Arman",10000681,Left,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,3,2,Fastball,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.6555354136074,-0.191771767946511,4.36223895556186,1980.93674447639,125.779428142615,10:15,4.77207465706707,-2.50816471313793,5.75125416735822,-24.0809773771402,11.8955883450086,-16.5530647884058,2.58630218820649,0.180738040632687,79.3611482799096,-4.77354821369386,1.21306370565868,0.431699325641165,,,,,,,,,,,,10.5701671490979,6.50422211718704,2.15572147940111,50,4.74187031211694,-9.36548818450679,-129.836144046247,-1.21964607722971,17.479943902222,35.0857654800961,-21.4179804515165,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,101a3c09-3c90-11e9-b147-302432607227
8,3/1/2019,6:08:55 PM,2,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,1,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.0236029774991,-1.41322874784107,4.49030749006259,1953.51573835489,146.064057793791,10:45,4.62732060580848,-2.63328835234193,5.78424754632832,-19.8092996118755,15.8532271754206,-10.6899303954295,1.657582198201,0.661541050811216,79.7777237342611,-5.17923265414142,2.45800490773564,0.429811047257616,,,,,,,,,,,,7.45034962186286,9.1067694597024,2.26920643384145,49.9999999999999,4.49903472586001,-9.88681635162862,-130.318584473421,-3.86849207342982,12.4154222925742,35.2873945873029,-16.9983327441767,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,21fd295d-3c90-11e9-b147-302432607227
9,3/1/2019,6:09:10 PM,2,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,1,0,1,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.8318624317616,-0.358430428558011,4.15253030255162,1943.40646455288,144.736398737394,10:45,4.88201806912706,-2.5527592955237,5.5809886832756,-18.2504836830232,17.7748235423252,-12.5922816969939,3.02555959380606,0.282287360131595,79.5070324613097,-3.82090078859469,1.76574208346957,0.431991662494091,,,,,,,,,,,,8.29532584151831,9.6845080190963,2.20358589868665,50,4.83962891027901,-9.02168666821175,-130.089092875925,-1.42918590593275,13.7854134429318,34.9753881085315,-16.0800518183596,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,2af23354-3c90-11e9-b147-302432607227
10,3/1/2019,6:09:25 PM,2,3,"Sabouri, Arman",10000681,Left,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,1,0,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.3500618122297,-0.492932776421464,4.55479152839477,2043.56973520585,128.832884701867,10:15,4.84316344704415,-2.45393225956066,5.5777783363982,-21.758445599267,12.9742063959312,-16.1582750297818,2.56816553071482,0.462011149859794,81.2435372010588,-4.60862203960458,1.50026367813198,0.424170528991415,,,,,,,,,,,,10.285383852335,7.13834105089809,2.07207369448419,50,4.78685778085945,-9.98184988035337,-132.257967812101,-1.88796352501282,17.7514793964685,34.940680694925,-19.854030566901,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190301-CalBerkeley-1,342c5d34-3c90-11e9-b147-302432607227
