PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,4/7/19,1:06:59 PM,1,1,"Holman, Grant",1000017002,Right,CAL_BEA,"Plew, Dillon",10000507,Right,WAS_COU,Undefined,1,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.08539832,-3.253872034,-1.110174898,1808.998244,200.0628296,12:45,6.228574275,1.401895178,6.293678585,-11.14487527,21.39724316,7.825716818,2.298078308,1.031046918,83.77727646,-5.361056389,0.37752246,0.410576822,,,,,,,,,,,,-4.614442184,12.68223127,-1.324175133,50,5.983990578,2.35183337,-133.8636173,-7.956843125,-8.326351789,30.40195335,-9.290086679,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,b389e1fe-5970-11e9-b16a-302432607227
2,4/7/19,1:07:15 PM,1,2,"Holman, Grant",1000017002,Right,CAL_BEA,"Plew, Dillon",10000507,Right,WAS_COU,Undefined,1,Top,0,0,1,ChangeUp,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,79.28940798,-0.177933225,-1.714508493,1360.273457,217.4372668,1:15,5.654422644,1.670385644,6.456133203,-31.76171477,11.76216835,9.036314869,2.844104496,0.84813488,72.30901001,-6.212177515,0.008677838,0.474826923,88.95615725,25.64252836,-6.374674578,2762.805355,108.5065624,48.82346629,-18.06390788,318.5730207,313.2698457,-15.19562405,4.436010132,-5.489420119,6.536721962,-1.55341168,50,5.627552618,3.222367807,-115.4439156,-1.178301373,-7.361222792,22.76205304,-23.40841109,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,bf6b626a-5970-11e9-b16a-302432607227
3,4/7/19,1:07:48 PM,2,1,"Holman, Grant",1000017002,Right,CAL_BEA,"Sinatro, Danny",10000491,Right,WAS_COU,Undefined,1,Top,1,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.11790649,-3.38395017,-2.465688886,1933.695942,208.8195542,1:00,6.044551108,1.381728163,6.405268646,-14.96762142,17.26241997,9.514442046,1.679517211,-0.09377052,84.43158784,-6.207847761,-0.660843255,0.408603375,,,,,,,,,,,,-5.900984717,10.40930758,-1.209818929,50,5.795262152,5.47530396,-133.8768017,-8.378972985,-10.72535679,28.50479017,-13.25457274,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,d08151fd-5970-11e9-b16a-302432607227
4,4/7/19,1:08:05 PM,2,2,"Holman, Grant",1000017002,Right,CAL_BEA,"Sinatro, Danny",10000491,Right,WAS_COU,Undefined,1,Top,1,0,1,Fastball,Undefined,InPlay,Undefined,LineDrive,Single,0,0,,92.89304138,-2.505495848,-2.15000436,1814.91581,220.0860596,1:15,6.047900874,1.129374709,6.40834769,-16.86649296,14.85752843,12.5301285,2.335834239,0.196013122,84.87033264,-5.697686579,0.232008775,0.405383096,97.05774873,12.35949759,-0.693130509,1645.252273,109.7887372,20.71213495,-6.813341144,264.5048846,263.745087,-7.97056988,2.592406616,-7.498604445,8.879599178,-0.981553007,50,5.860944661,4.688857451,-135.1119616,-6.432556851,-13.83368878,29.98783813,-15.7926522,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,da435a24-5970-11e9-b16a-302432607227
5,4/7/19,1:08:48 PM,3,1,"Holman, Grant",1000017002,Right,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,90.6841207,-1.60630846,-2.797543982,2119.534643,214.8118542,1:15,5.983355184,1.639150967,6.481824133,-16.44002457,16.75462087,11.67160787,3.136503724,0.041402116,82.72346464,-4.728841374,-0.576750775,0.414672787,,,,,,,,,,,,-7.230389235,9.693534883,-1.448015134,50,5.863197201,6.102986346,-131.9226254,-4.187632304,-12.71317442,28.65884211,-15.12993161,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,f457de10-5970-11e9-b16a-302432607227
6,4/7/19,1:09:08 PM,3,2,"Holman, Grant",1000017002,Right,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,0,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,81.44982231,1.303312459,-0.847112788,2120.93076,144.3091651,10:45,5.77799434,1.82417791,6.201440632,-34.84508545,6.172684465,-4.461729744,4.07748562,0.670456235,75.36772241,-5.240014364,-1.686741249,0.46095395,,,,,,,,,,,,2.218185911,3.036359066,-1.758338037,50,5.857984183,1.881176716,-118.6805427,1.713492949,3.198671608,20.36236662,-27.79555373,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,fe0dfc56-5970-11e9-b16a-302432607227
7,4/7/19,1:09:28 PM,3,3,"Holman, Grant",1000017002,Right,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,1,1,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,75.73909358,0.114924697,-1.612399163,2099.232943,83.63814045,8:45,5.684503994,1.785705652,6.147201316,-49.31745054,-1.121274772,-9.650383523,1.680938705,-0.508597759,69.76854229,-9.136283286,-3.437527748,0.49966371,,,,,,,,,,,,4.789662245,-0.644375879,-1.658192477,50,5.667759026,3.356534616,-110.2372554,-1.074053822,5.868043311,20.39882415,-32.96350413,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,0c3e9dd4-5971-11e9-b16a-302432607227
8,4/7/19,1:09:50 PM,3,4,"Holman, Grant",1000017002,Right,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,2,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,91.66135596,-1.788791141,-3.711806984,2285.153255,196.9820507,12:30,6.106319292,1.372189981,6.44524853,-10.10678944,22.62178351,6.91782224,3.616720456,-1.466169794,83.14910239,-3.712435635,-2.396112005,0.41175137,,,,,,,,,,,,-4.916212202,12.99884769,-1.1122726,50,5.974847453,8.432800309,-133.1681348,-4.469120794,-8.76999799,30.35706523,-8.985491296,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,18e5f537-5971-11e9-b16a-302432607227
9,4/7/19,1:10:09 PM,3,5,"Holman, Grant",1000017002,Right,CAL_BEA,"Alvarez, Andres",10000492,Right,WAS_COU,Undefined,1,Top,1,3,1,Fastball,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,90.13911566,-3.207662904,-2.305638503,2184.01837,211.3382531,1:00,6.230795557,1.37665208,6.318904347,-13.95830307,19.89839353,12.13600026,2.108139197,0.263546059,82.31171899,-5.84348124,-0.002670691,0.418787595,89.96786748,24.05619783,10.20623449,4006.035222,106.1472554,41.12389563,28.8575554,297.7305924,292.5456051,24.38991641,3.808599243,-7.303712602,11.81409534,-1.214144468,50,5.989574388,4.907332109,-130.9942645,-7.76917744,-12.66669334,28.16107939,-11.68508207,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,21d89c57-5971-11e9-b16a-302432607227
10,4/7/19,1:10:41 PM,4,1,"Holman, Grant",1000017002,Right,CAL_BEA,"Manzardo, Kyle",1000058231,Left,WAS_COU,Undefined,1,Top,2,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.73990956,-1.707592504,-2.716082913,2147.847262,219.9490768,1:15,5.904133842,1.725231661,6.347570983,-17.20343237,16.22677018,13.61764576,2.896591029,0.358243992,82.52051018,-4.971578823,-0.126464672,0.416141494,,,,,,,,,,,,-8.276236147,9.411957427,-1.534684241,50,5.772061334,5.848707487,-131.949589,-4.457319006,-14.50840842,29.56255464,-15.67469789,CAL_BEA,WAS_COU,CalBerkeley,D1,PAC12,20190407-CalBerkeley-1,33bdecfa-5971-11e9-b16a-302432607227
