PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,2/28/19,7:05:39 PM,1,1,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.80952724,-3.765237099,-1.100842265,2048.569835,176.9189946,12:00,6.368606485,1.016885515,5.472699135,-9.682796381,28.50073817,-1.53600113,2.032910252,-0.141279736,78.16299679,-5.57476463,-1.389844606,0.444743472,,,,,,,,,,,,0.464786549,16.41376091,-0.919259478,50,6.031247135,2.47001917,-125.8638461,-8.609089736,0.734345572,29.13834003,-6.240912868,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,e1cf295d-3bce-11e9-b147-302432607227
2,2/28/19,7:05:53 PM,1,2,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,0,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,86.87900778,-3.653896948,-2.453394501,2070.517335,207.1128526,1:00,6.015327751,0.992900728,5.620278565,-18.76882395,18.88459196,9.687206517,1.034022765,-0.490510219,79.0709927,-7.151396931,-0.634472581,0.441645398,81.11853826,32.87319271,54.81004901,4803.341137,50.30679637,53.7259865,97.82211819,275.5530096,71.72181827,72.93888021,3.820238647,-5.910194254,11.18840771,-0.789980409,50,5.691499413,5.079365015,-126.0003086,-8.672183279,-9.440271667,27.13808223,-14.30295942,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,ea189361-3bce-11e9-b147-302432607227
3,2/28/19,7:06:13 PM,1,3,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,0,2,Fastball,Undefined,InPlay,Undefined,FlyBall,Single,0,0,,86.46800775,-2.464306956,-2.195494913,2126.073569,189.9081077,12:15,6.226437747,1.181632592,5.623752979,-11.21432112,26.87020941,4.699775209,2.989490967,-0.476219773,78.07024906,-4.569621779,-1.310854662,0.444166522,96.21003447,14.80766291,-11.50196554,626.1195736,107.0180586,18.25754604,-25.43760059,212.4964207,212.4964207,-14.66359785,1.936066895,-3.201859693,15.16308745,-0.997660231,50,6.009338128,4.65856461,-125.5208643,-5.772441187,-5.049335801,28.14319659,-8.26184513,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,faadcbed-3bce-11e9-b147-302432607227
4,2/28/19,7:06:52 PM,2,1,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.73590076,-3.100017268,-2.232087647,2071.322372,200.3264299,12:45,6.103920958,0.922482185,5.548622629,-17.06206182,21.46457456,7.964663918,1.780528446,-0.500418193,78.34140966,-6.273228408,-0.7424125,0.446737146,,,,,,,,,,,,-4.871192375,12.30979123,-0.734713194,50,5.824374572,4.587841496,-124.4677354,-7.310642511,-7.634110967,25.21297685,-12.88219864,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,0e8c702d-3bcf-11e9-b147-302432607227
5,2/28/19,7:07:12 PM,2,2,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,0,1,Curveball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.10404002,1.498494715,-2.111191937,2305.189382,70.70714989,8:15,5.792714035,1.598149989,5.165284054,-57.54693674,-2.343100035,-6.545247202,2.40857034,-0.934918794,66.40948137,-9.110472953,-3.325785402,0.534756595,,,,,,,,,,,,2.842250723,-1.657475594,-1.396585377,50,5.889228946,4.054261164,-104.7309078,1.040581428,3.150535737,18.01714405,-34.01130241,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,177f1730-3bcf-11e9-b147-302432607227
6,2/28/19,7:07:33 PM,2,3,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,0,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,73.31306157,-0.735958171,-2.819041788,2344.068461,29.41982124,7:00,5.773871592,1.514792343,4.964991926,-63.65090391,-9.550713295,-5.357219405,-0.226395255,-1.596500213,67.90081774,-12.34269258,-3.811209632,0.529384128,,,,,,,,,,,,1.957223631,-4.772773753,-1.237969211,50,5.651926678,5.403167109,-106.3777035,-3.328448173,2.226454687,19.48668152,-37.60335378,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,28a5b648-3bcf-11e9-b147-302432607227
7,2/28/19,7:08:06 PM,2,4,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,1,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,85.87569849,-2.24707586,-2.234753845,2118.480545,188.0608162,12:15,6.209489774,0.841572927,5.569902767,-15.83300891,22.71298784,3.221823366,2.788661011,-0.978228706,77.91391167,-5.20783725,-1.630193507,0.446849379,,,,,,,,,,,,-2.391737175,12.80728124,-0.65126673,50,6.005649138,4.760411818,-124.7010067,-5.417147196,-3.73741676,26.86029369,-12.16091832,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,3b4c18a2-3bcf-11e9-b147-302432607227
8,2/28/19,7:08:30 PM,2,5,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,1,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.61651424,-1.858203979,-2.571469351,2032.908444,183.4513796,12:00,6.128942936,0.693637932,5.582228012,-14.54109152,24.31520305,1.468675223,3.179691138,-1.586748057,77.43869582,-4.58324125,-2.295627226,0.448644357,,,,,,,,,,,,-1.577688848,13.57553163,-0.473720559,50,5.959892112,5.534609633,-124.3023785,-4.511127587,-2.442944214,27.31732464,-11.15325824,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,4ae2455d-3bcf-11e9-b147-302432607227
9,2/28/19,7:08:59 PM,3,1,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Milam, Kevin",1000009861,Right,STM_GAE,Stretch,1,Top,1,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,85.7100236,-5.332477152,-2.665839157,1957.736949,206.2454398,12:45,6.081420863,0.855540034,5.729468426,-18.09100333,20.56043406,10.1551675,-0.411551084,-0.782419981,78.2542512,-8.688959468,-0.757357219,0.447460128,,,,,,,,,,,,-6.228636894,12.59682938,-0.639620435,50,5.624612643,5.451492222,-124.0369246,-12.16689828,-9.658586101,25.88565563,-12.64047111,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,5621aee9-3bcf-11e9-b147-302432607227
10,2/28/19,7:09:26 PM,3,2,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Milam, Kevin",1000009861,Right,STM_GAE,Stretch,1,Top,1,1,0,ChangeUp,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.60330363,-4.134081173,-2.510663577,1660.225067,200.94423,12:45,5.764677847,1.47500624,5.765272072,-30.72640533,16.63887808,6.38553681,-0.653324394,-0.330724808,70.51377955,-9.859201818,-1.303576693,0.495337934,,,,,,,,,,,,-4.252231413,10.30509098,-1.271213299,50,5.403782498,4.748148737,-112.4356909,-9.009639618,-5.359640553,23.31051103,-19.18520149,CAL_BEA,STM_GAE,CalBerkeley,D1,PAC12,20190228-CalBerkeley-1,68096328-3bcf-11e9-b147-302432607227
