PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/15/2019,7:09:08 PM,1,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sabol, Blake",8889850,Left,SOU_TRO,Stretch,1,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.216058168663,0.252565067700324,4.90331576494818,1756.65823021921,131.167892656838,10:15,4.90550626731864,-2.78917864086233,5.69735618215769,-22.4969831857866,12.376889164316,-14.1914997770443,3.26695388954779,0.60810137688547,81.6524583438335,-3.9710786171392,2.24329473084676,0.425031976993719,,,,,,,,,,,,9.07490487773101,6.56441669857453,2.38592601300451,50,4.91286917826566,-10.7387535714055,-130.759602882784,-0.180686158369859,15.6064587176255,29.3001788507097,-20.8849717460507,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,7bc089ff-4790-11e9-b153-302432607227
2,3/15/2019,7:09:22 PM,1,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sabol, Blake",8889850,Left,SOU_TRO,Stretch,1,Top,0,0,1,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.9505800864724,-0.131277362693767,2.27191521047917,1846.92564043684,138.742176099882,10:30,4.9255448531912,-2.91139554391275,5.71853471112354,-22.6051180057143,13.1249997031108,-11.5429563893282,2.91941800518027,-1.75615644872531,80.5024854950847,-4.38488178926559,0.0967368257149606,0.430218163286997,,,,,,,,,,,,6.89661741529631,7.09166731546803,2.72874995274425,50,4.90077360550771,-4.745966930043,-129.276373522969,-1.04616803355389,11.5591431987014,29.365140598922,-20.2879900612568,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,84268f57-4790-11e9-b153-302432607227
3,3/15/2019,7:09:40 PM,1,3,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sabol, Blake",8889850,Left,SOU_TRO,Stretch,1,Top,0,0,2,Slider,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,80.3851207194829,0.0764936455454614,2.80935557516898,2273.71560487725,264.838155154436,2:45,4.6042226177656,-3.09212508106621,5.34751475716601,-43.4148300614824,0.741666332801857,8.66969692328204,1.05814734457592,0.267265014528577,73.8517932577823,-7.95280341789545,4.42128535942214,0.478265244430629,57.0798008264926,21.0398483849541,-50.8245104218411,5113.29831987929,59.4545171867623,8.81725627550357,-92.547999189438,129.790077596211,80.9816344096942,-58.5781911927518,2.02343200683594,-3.78397684172568,0.370651858076551,2.83318471659222,50,4.58057102971924,-6.00739947704368,-116.763998834551,-1.23392670447254,-5.20879733797636,22.5845009866311,-31.6638312658868,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,8db1c4a2-4790-11e9-b153-302432607227
4,3/15/2019,7:10:00 PM,1,4,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sabol, Blake",8889850,Left,SOU_TRO,Stretch,1,Top,0,0,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,90.2888535751864,0.152103660705607,4.38245042554978,2021.59571731599,123.162637495342,10:00,4.77919928316171,-2.86347341469222,5.80200912368529,-24.0980066833682,10.1648079109334,-15.6048838322468,2.91289361483503,-0.0805220903818481,82.7020974183134,-4.3553363886447,1.4652054396022,0.421291829405528,,,,,,,,,,,,9.53647589684553,5.41764303850783,2.51277260604977,50,4.77728049473099,-9.52338196523535,-131.092677511944,-0.459014902950755,16.6781278992777,26.4173569981549,-22.6992546717468,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,9adc3244-4790-11e9-b153-302432607227
5,3/15/2019,7:10:18 PM,1,5,"Sabouri, Arman",10000681,Left,CAL_BEA,"Sabol, Blake",8889850,Left,SOU_TRO,Stretch,1,Top,0,0,2,Fastball,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.764334877961,-1.35931014216597,3.61487995759562,1987.13896064114,137.792671965481,10:30,4.72521064577474,-2.87999596029246,5.80367867877066,-18.6912089881535,15.5838749600646,-14.1634557361451,1.90082242299647,-0.694320209015542,82.1750933729757,-4.87765034981063,0.946326350610699,0.421367253972283,,,,,,,,,,,,8.72782907194624,8.80895948919158,2.59168274106665,49.9999999999999,4.6024926432321,-7.85100973792736,-131.744678050838,-3.75529324671728,15.2065730763974,30.2542730436704,-16.8261212430985,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,a51ef0a2-4790-11e9-b153-302432607227
6,3/15/2019,7:10:50 PM,2,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Bushor, Chase",8882902,Right,SOU_TRO,Stretch,1,Top,1,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.440813681803,-1.11347524687895,4.93637377858536,2031.69517366916,124.841037052556,10:15,4.65343259210969,-2.98355849522973,5.79604682486776,-24.804630608957,9.86536321274331,-14.2195563621587,1.54681881409852,0.433889988140953,81.8551653354784,-5.77662716842561,2.26283606221571,0.423787751596797,,,,,,,,,,,,9.17235434161667,5.65626744137696,2.58571012048238,50,4.54695773869514,-10.8471980716077,-131.051722777474,-3.37949165843807,15.8001057189977,30.1521732660021,-22.4306805812974,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,b8a09d22-4790-11e9-b153-302432607227
7,3/15/2019,7:11:08 PM,2,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Bushor, Chase",8882902,Right,SOU_TRO,Stretch,1,Top,1,0,1,Fastball,Undefined,InPlay,Undefined,Popup,Out,1,0,,91.6992443027395,-0.898371544809523,4.60843781628278,1974.80724972177,141.734528034879,10:45,4.82302023624314,-2.76285960766966,5.69874768386736,-18.008228611787,15.8815473165366,-12.5520912133661,2.48250496786188,0.494267423227118,82.6467764573858,-4.28808503314844,2.24873055217078,0.41899213138073,69.8889084257261,29.7908476526742,17.120885229793,3407.16636263695,102.112814250985,44.2430269378587,40.9017668005018,219.372237334377,217.79506901179,26.8321940997098,3.60188537597653,8.18596716867351,8.81295269258625,2.38355829715154,50,4.73642708548728,-10.284130340246,-132.902686120405,-2.70578038054449,14.4672267637961,31.6427631619398,-16.5987374862648,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,c361b171-4790-11e9-b153-302432607227
8,3/15/2019,7:11:45 PM,3,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Acosta, Matthew",8899819,Left,SOU_TRO,Stretch,1,Top,2,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,89.9120339604497,-0.941387078997149,1.92916925594879,1811.72333146316,137.778426857136,10:30,4.78099793779964,-2.83756071241033,5.93076018175041,-22.1218094226476,12.7194576128569,-11.5717557637316,2.06362696513121,-2.01153103126209,81.0862099518499,-5.12620811126719,-0.266031781251723,0.424833238782149,,,,,,,,,,,,6.89281569400289,7.19739285014719,2.69013180898486,50,4.69349206672321,-4.02984813732424,-130.686051875627,-2.8598948490975,11.7426903192202,31.3745650769304,-19.9124766390814,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,d546ff99-4790-11e9-b153-302432607227
9,3/15/2019,7:11:57 PM,3,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Acosta, Matthew",8899819,Left,SOU_TRO,Stretch,1,Top,2,1,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.8957559642438,1.6892004552239,2.61208601510662,2350.73881742363,283.468281355656,3:30,4.55281648501957,-3.17129417444213,5.389011525225,-47.9387654173414,-2.28453567761885,9.35980322504867,2.14304705987999,0.0582841237494602,72.5605185746976,-7.19089319981651,4.35124333137512,0.486308687917047,,,,,,,,,,,,-4.23398044079856,-1.67826771977051,2.93161920493659,50,4.67037759957899,-5.52142017292234,-114.606031060034,1.88281965482688,-5.63341895922765,21.103048332402,-34.4070265598507,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,dc9ae71c-4790-11e9-b153-302432607227
10,3/15/2019,7:12:11 PM,3,3,"Sabouri, Arman",10000681,Left,CAL_BEA,"Acosta, Matthew",8899819,Left,SOU_TRO,Stretch,1,Top,2,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,89.9427230976404,-0.812137817716893,2.0069662398719,1967.70717383241,131.32017602168,10:30,4.6947809158533,-2.80021204943067,5.5502514609258,-22.9386381705349,12.3368764701986,-14.0705290128987,2.02390758020593,-2.09682298063449,81.2207619974932,-5.11782583368617,-0.641522659724776,0.42747251623643,,,,,,,,,,,,8.15363603000153,6.85014713443121,2.63588779457592,50,4.60969308992116,-4.09460185637934,-130.65894774577,-2.64235362472882,13.9139069905893,30.8332998635411,-20.4845017395719,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190315-CalBerkeley-1,e45c7427-4790-11e9-b153-302432607227
