PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/31/2019,1:06:34 PM,1,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Desa, Riki",1000049509,Right,LON_DIR,Undefined,1,Top,0,0,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.8555322145808,2.26287577647737,1.24371981610686,2426.23106640895,285.927584066759,3:30,4.75287735839657,-3.22487165346421,5.03566043692493,-54.9563673437387,-4.53470310415592,15.7240378129072,2.3093869215039,-0.741137704885237,69.2692072628734,-7.89511948252953,4.16387324539362,0.511069668081559,,,,,,,,,,,,-7.86733228672878,-3.06201671469048,3.09399740569221,50,4.92606913504684,-2.88594800331984,-110.100326472948,2.61942617630865,-9.57575167705275,21.0844441886569,-35.9009931702129,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,75ece267-53f0-11e9-b163-302432607227
2,3/31/2019,1:06:51 PM,1,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Desa, Riki",1000049509,Right,LON_DIR,Undefined,1,Top,0,0,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,89.8129739683266,0.309268266668446,1.91349778952666,2017.56627695692,137.249803355273,10:30,4.85661223728529,-2.82057260065099,5.49282315268625,-23.252852843982,12.3051725095457,-11.4057676886659,3.20830685753518,-1.98063401129388,80.7152958366814,-4.06513513982018,-0.234935330814515,0.429180850421731,,,,,,,,,,,,6.71217778284514,6.46850177088119,2.6608200419341,49.9999999999999,4.86829652657011,-3.9636567850135,-130.442504026018,-0.0994231047398563,11.3763973144974,31.6107201446888,-21.2106550713607,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,85f7dbb6-53f0-11e9-b163-302432607227
3,3/31/2019,1:07:06 PM,1,3,"Sabouri, Arman",10000681,Left,CAL_BEA,"Desa, Riki",1000049509,Right,LON_DIR,Undefined,1,Top,0,1,1,Slider,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.547548415055,1.65091985760195,1.77037932566446,2382.24638789431,270.893297774841,3:00,4.79827537812268,-3.00912293296403,5.08798526202122,-46.6949294366273,-0.168624463395592,8.00906309900302,2.46402646460774,-0.672770357386113,72.1503345131789,-6.9630148405108,3.25296091992859,0.490931388033697,,,,,,,,,,,,-3.70856982145375,-0.543627200913293,2.8356690025887,49.9999999999999,4.91833227458795,-3.78873319486142,-114.116324614757,1.76580304552329,-4.89441347723246,20.8369397610143,-32.8915047260158,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,8ef8d11f-53f0-11e9-b163-302432607227
4,3/31/2019,1:07:27 PM,1,4,"Sabouri, Arman",10000681,Left,CAL_BEA,"Desa, Riki",1000049509,Right,LON_DIR,Undefined,1,Top,0,1,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,90.0405892285004,0.00283275842698746,2.24366079118248,1964.89212303211,132.074740541944,10:30,4.88540055698577,-2.77882534606858,5.51798881238389,-25.5126494784878,9.73381170400292,-10.8188836577898,2.76199678777298,-1.58174644066267,81.2561493220292,-4.78694968274483,0.208903363049085,0.427296443494262,,,,,,,,,,,,6.48369142447478,5.1956992116104,2.59073500944575,50,4.8689008791883,-4.74961937389301,-130.786864323957,-0.876701807698617,11.0860481330198,30.8897836518509,-23.2902557023817,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,99b78430-53f0-11e9-b163-302432607227
5,3/31/2019,1:07:45 PM,1,5,"Sabouri, Arman",10000681,Left,CAL_BEA,"Desa, Riki",1000049509,Right,LON_DIR,Undefined,1,Top,0,2,2,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,90.1174196744064,-0.871629096668116,3.30010829268974,1849.80051861362,143.5111663772,10:45,4.9233816523984,-2.70360661399829,5.47737671797001,-15.354665093095,20.2764650315351,-15.0224598606331,2.82691205366514,-0.864476570778464,80.3663206680724,-3.7694207271377,0.464686876804672,0.429621806546226,72.2911444856921,56.3992577568682,112.896835263808,,,,,,,,,9.1664088586365,11.1370624261413,2.42391916156949,50,4.83669645525241,-7.01528311532469,-130.662194348538,-2.52156712991353,15.4876789103749,33.3456455816225,-13.3567287618456,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,a2aa2c34-53f0-11e9-b163-302432607227
6,3/31/2019,1:08:04 PM,1,6,"Sabouri, Arman",10000681,Left,CAL_BEA,"Desa, Riki",1000049509,Right,LON_DIR,Undefined,1,Top,0,2,2,Splitter,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,80.1114235795344,2.28487438412139,3.57494755377582,1150.01299247908,127.311415516846,10:15,4.55858335260756,-3.20716941024115,5.42300884915452,-40.2117835022716,4.27686976933671,-5.66676034419669,3.35280847921726,-0.326933022189997,72.9040751392362,-5.20904570718521,2.51836639761501,0.480060693304328,,,,,,,,,,,,4.03906680112375,1.61052907552151,2.89385996232721,49.9999999999999,4.734022044882,-7.08115453894073,-116.196635788328,3.3799399143382,5.50284205634213,22.4832932993301,-29.9798567873624,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,b188ce7e-53f0-11e9-b163-302432607227
7,3/31/2019,1:08:24 PM,1,7,"Sabouri, Arman",10000681,Left,CAL_BEA,"Desa, Riki",1000049509,Right,LON_DIR,Undefined,1,Top,0,2,2,Slider,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.5221481746972,1.15852816234951,1.57668165803622,2494.94209290998,294.589898300287,3:45,4.74394525860238,-2.9230671061634,5.03641718445081,-50.4341008813211,-5.05434369556914,10.9515519404637,1.63450217575471,-0.522783725736506,73.4095157003437,-8.1076674986697,3.59992998106109,0.484844643827309,,,,,,,,,,,,-5.29892860002757,-2.95561125474705,2.76407861705269,50,4.81486224377754,-3.54674174721969,-115.575804770157,0.655003783358186,-7.18646150003434,21.0040257020319,-36.1824789570962,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,bd6cafbc-53f0-11e9-b163-302432607227
8,3/31/2019,1:09:02 PM,2,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Stotler, Brooks",8892273,Left,LON_DIR,Undefined,1,Top,1,0,0,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,79.2159926684299,0.305952375375099,5.23207268020787,2472.73064557769,317.486357056912,4:30,4.57982194334549,-3.04135435127597,5.21626274280329,-54.7043457599226,-8.60880839998046,7.85255852248695,0.309976183969472,2.54571770247595,72.9756689788447,-9.73409931078346,6.68085476648321,0.488653438852796,,,,,,,,,,,,-2.59392380048621,-4.62958639798496,2.55174760856352,50,4.56798221662668,-10.7521400727142,-114.672252800073,-1.13661220881021,-3.43386880644772,22.3552861383464,-38.3027529986409,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,cf6773dd-53f0-11e9-b163-302432607227
9,3/31/2019,1:09:17 PM,2,2,"Sabouri, Arman",10000681,Left,CAL_BEA,"Stotler, Brooks",8892273,Left,LON_DIR,Undefined,1,Top,1,1,0,Fastball,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,90.0605694474342,-1.58232185227793,3.39315459789887,1997.10620696399,144.653450096468,10:45,5.03862311692914,-2.77825254832928,5.58938645242637,-17.3949748892874,17.9494216287657,-12.7543751404851,2.10874338502274,-0.669404756181085,80.9133351489144,-4.85662543418431,0.989485408999946,0.427889671726588,84.4257679458233,27.4465137076673,-15.1113755093007,4643.70453150252,103.993405732478,49.3268893713645,-35.8515635873022,276.410124761866,270.317908718316,-27.182930040957,4.12392028808589,7.93982393874289,10.1323956511562,2.49522782926478,50,4.89164624235068,-7.31005052275611,-130.619429703326,-4.2071425557466,13.4917498197317,31.7320415202982,-14.9565701520439,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,e00171ee-53f0-11e9-b163-302432607227
10,3/31/2019,1:09:49 PM,3,1,"Sabouri, Arman",10000681,Left,CAL_BEA,"Malm, Aidan",1000049511,Right,LON_DIR,Undefined,1,Top,2,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.0654573070687,-0.762280636670683,3.91037060273842,1983.66755282554,131.205574406319,10:15,4.8278436236556,-2.88869673485596,5.57986582525187,-22.0002041219977,12.6100227565899,-14.4386499898272,2.28096358557465,-0.434687723250803,81.7800558031501,-4.90374696110716,1.19087206679458,0.423422314212815,,,,,,,,,,,,9.01266188644226,7.00318732997908,2.5616155686207,50,4.74815713559356,-8.52731540129141,-132.034405682823,-2.51947616232562,15.6437818041376,32.4987694289499,-20.0182242390333,CAL_BEA,LON_DIR,CalBerkeley,D1,PAC12,20190331-CalBerkeley-1,ea3f6d19-53f0-11e9-b163-302432607227
