PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,3/17/2019,1:12:49 PM,1,1,"Gather, Lucas",1000016557,Left,CAL_BEA,"Sabol, Blake",8889850,Left,SOU_TRO,Undefined,1,Top,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.3377866788163,-1.22959838798969,2.42226925226293,1969.1307392436,153.486135409288,11:00,5.10093029760209,-1.37341640115322,6.12673666810126,-21.7133505321572,15.4726903362269,-7.73651682039157,2.15381619576097,0.222032132626109,78.6446296238609,-5.32885177558387,0.957750215830003,0.438895865270284,,,,,,,,,,,,4.91980627299624,8.78445172119428,1.19244983123922,50.0000000000001,4.99566794963571,-5.0793365053365,-125.564925234776,-3.34944250678721,7.81716877765015,26.5566066458828,-18.2162750358332,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,09b78602-48f1-11e9-b155-302432607227
2,3/17/2019,1:13:07 PM,1,2,"Gather, Lucas",1000016557,Left,CAL_BEA,"Sabol, Blake",8889850,Left,SOU_TRO,Undefined,1,Top,0,0,1,Fastball,Undefined,InPlay,Undefined,Popup,Out,1,0,,87.4062889497732,-0.482681232741658,1.45494793737748,1879.15134919681,152.193326577614,11:00,5.28660321975345,-1.283581765262,6.02206894651534,-21.6235205195043,14.5367074512027,-7.68443085923188,3.03748034907602,-0.576243074498915,80.0590559509539,-4.54931147597462,0.00674055498485967,0.43279984668629,,,,,,,,,,,,4.55851669435283,8.00484405759024,1.17405002489895,50,5.23703754959,-2.99229441618245,-127.250677295073,-1.74704088745466,7.48873548980813,25.646976763361,-19.023683250383,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,13c83759-48f1-11e9-b155-302432607227
3,3/17/2019,1:13:47 PM,2,1,"Gather, Lucas",1000016557,Left,CAL_BEA,"Bushor, Chase",8882902,Right,SOU_TRO,Undefined,1,Top,1,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.0242879497012,-0.685076647286187,1.64393207855814,1962.20515222148,155.710043552135,11:15,5.21540712391201,-1.50512632435347,5.96191527190202,-18.8649131903982,16.9347784338846,-7.65796304412991,3.00787473893741,-0.618710326214034,80.4501938324958,-4.23269552840673,0.201257993143933,0.430636821372683,,,,,,,,,,,,4.59612503502795,9.34586205492243,1.37917066603728,50,5.15056038466957,-3.43377305512005,-128.108121785932,-2.13088495850279,7.64007741589316,26.4001183065487,-16.6385465686279,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,2c0e4fa1-48f1-11e9-b155-302432607227
4,3/17/2019,1:14:02 PM,2,2,"Gather, Lucas",1000016557,Left,CAL_BEA,"Bushor, Chase",8882902,Right,SOU_TRO,Undefined,1,Top,1,0,1,ChangeUp,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.8135188994463,-0.0847850811223256,2.6108843346062,1479.27648729265,158.830910112682,11:15,5.19007099771785,-1.52146536028282,5.61169214297194,-25.8622073428634,20.5306835463557,-7.96747960068058,2.95567856807333,0.252889956201103,71.2814634837845,-4.90927056332571,1.12227399434239,0.490227010347039,,,,,,,,,,,,4.95737372225592,10.9778236458747,1.30367600793589,50,5.1662170585332,-4.92145312362836,-113.141758918592,-0.939561681614202,6.44319689019747,20.1238702442035,-17.9059535651881,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,35736205-48f1-11e9-b155-302432607227
5,3/17/2019,1:14:31 PM,2,3,"Gather, Lucas",1000016557,Left,CAL_BEA,"Bushor, Chase",8882902,Right,SOU_TRO,Undefined,1,Top,1,0,2,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,88.8415032197978,0.0570923633748019,-0.189200668227281,2143.8225450605,163.41386759613,11:30,5.40182916834306,-1.30754010303481,5.90265530287255,-14.2271591978633,21.4484854910094,-6.39840978396956,4.26922474719365,-2.01635344310959,79.9599424292551,-2.63872820548961,-1.40251389052337,0.429890089618534,,,,,,,,,,,,3.40397454764414,11.596166050226,1.32634324270828,50,5.39835687274298,0.631134930598098,-129.213424325873,-0.325844332737298,5.66912036970645,30.6705336060785,-12.8613127396093,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,469a022d-48f1-11e9-b155-302432607227
6,3/17/2019,1:15:03 PM,2,4,"Gather, Lucas",1000016557,Left,CAL_BEA,"Bushor, Chase",8882902,Right,SOU_TRO,Undefined,1,Top,1,1,2,Fastball,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.0084883109436,-0.066966541540395,0.899031626151792,1973.28518879536,153.134784545342,11:00,5.21680277388531,-1.5051020173339,5.86088870152503,-24.7429972712386,11.5477571493672,-5.86698390804147,3.09267296488493,-1.15883211354934,80.6593263499124,-4.6784172281335,-0.196823527230236,0.433580275119351,,,,,,,,,,,,3.36186062437087,6.21482560320678,1.43576336285632,49.9999999999999,5.19678838853126,-1.79977956236821,-126.781402263118,-0.948304154497544,5.5521992353175,22.3514654616449,-21.9101043251869,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,598f0e83-48f1-11e9-b155-302432607227
7,3/17/2019,1:15:37 PM,3,1,"Gather, Lucas",1000016557,Left,CAL_BEA,"Acosta, Matthew",8899819,Left,SOU_TRO,Undefined,1,Top,2,0,0,Curveball,Undefined,InPlay,Undefined,Bunt,Out,1,0,,66.3610451303455,3.16461003678734,-0.949373688778873,1873.19733425052,299.943938245424,4:00,5.11014480156101,-1.2182572135606,5.20802718477456,-71.9521986955347,-7.31209360544696,12.5880789677245,2.09325436909533,-1.06202983174764,61.6747691278041,-10.059604169784,1.38332238722556,0.578658777604137,,,,,,,,,,,,-6.85986368754654,-4.66191340870128,1.2965854318312,50,5.34923714369768,1.25486781773712,-96.3997409961702,3.37236014734943,-6.49837102791221,14.0463165374177,-36.5902941860247,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,6d42cb2b-48f1-11e9-b155-302432607227
8,3/17/2019,1:18:39 PM,1,1,"Hurt, Kyle",8898805,Right,SOU_TRO,"Eden, Cameron",8889135,Right,CAL_BEA,Undefined,1,Bottom,0,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.5227559669231,-3.28069117132854,-1.43957417619089,2074.27557581986,201.614095835339,12:45,5.97845913909524,0.838454161869317,5.2330421150734,-15.7659038420326,19.7968973189313,7.85702873207508,1.57687863360407,0.139916544067371,82.2181094093842,-6.18705267431789,0.0182598387682826,0.429209671148666,,,,,,,,,,,,-4.51384171702448,11.2828381402676,-0.711880116860056,50,5.66484002387708,2.97998457407031,-129.994298610847,-8.02941599499786,-7.76172535667798,25.9996598740946,-12.7727721318913,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,d8a2ad36-48f1-11e9-b155-302432607227
9,3/17/2019,1:19:00 PM,1,2,"Hurt, Kyle",8898805,Right,SOU_TRO,"Eden, Cameron",8889135,Right,CAL_BEA,Undefined,1,Bottom,0,0,1,Curveball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,79.1804467613842,0.330702273077197,-1.39704371060918,2416.77469794405,36.8974324383452,7:15,5.69019459956369,1.18446066200861,4.63070828206781,-54.4529859411322,-8.18172842497095,-6.1097804673979,1.46683474736542,-0.65266994955741,73.6026569358263,-9.55713340467671,-2.51625847001959,0.489583947387229,,,,,,,,,,,,2.78554041507391,-4.29646866048987,-1.03584449460881,50,5.67527034013059,3.02237281659401,-115.084142990569,-1.25812311409926,3.76290337567821,19.9051592975899,-37.9780197853397,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,e1955638-48f1-11e9-b155-302432607227
10,3/17/2019,1:19:30 PM,1,3,"Hurt, Kyle",8898805,Right,SOU_TRO,"Eden, Cameron",8889135,Right,CAL_BEA,Undefined,1,Bottom,0,0,2,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,81.9677209467329,-0.501461392733332,-0.646404828670009,1734.65744936997,221.772825040392,1:30,6.09470931072202,0.841510667395885,5.15813079006983,-31.6830450016916,10.7842610716499,9.66870867597498,2.98245187683555,1.03883222972604,75.2982362816824,-6.35227872202848,1.14726567809347,0.469028112872107,,,,,,,,,,,,-5.25080527533469,5.79736631893736,-0.788534980008516,50.0000000000001,6.02405322672836,1.01810428972999,-119.210971915579,-2.11458093888729,-7.57704620366844,22.322115389524,-23.8083007987439,CAL_BEA,SOU_TRO,CalBerkeley,D1,PAC12,20190317-CalBerkeley-1,f37aa5aa-48f1-11e9-b155-302432607227
